algorithm,mode,k,threads,index_mean_ms,search_mean_ms,collect_mean_ms,total_mean_ms,index_median_ms,search_median_ms,collect_median_ms,total_median_ms,speedup,candidates,hits
naive,serial,2,1,366.8,14.0,,380.8,360.5,14.0,,374.5,1.0,256773,30425
naive,serial,4,1,405.9,1.4,,407.3,406.0,1.0,,407.0,1.0,23993,131
naive,serial,6,1,428.2,0.0,,428.2,427.5,0.0,,427.5,1.0,1585,2
naive,serial,8,1,686.9,0.0,,686.9,675.5,0.0,,675.5,1.0,107,1
naive,serial,10,1,2344.3,0.0,,2344.3,2341.5,0.0,,2341.5,1.0,8,1
naive,parallel,2,,265.8,20.4,,286.2,263.5,20.0,,283.5,1.3305380852550666,256773,30425
naive,parallel,4,,318.6,2.1,,320.7,319.0,2.0,,321.0,1.2700342999688183,23993,131
naive,parallel,6,,343.6,0.0,,343.6,342.0,0.0,,342.0,1.2462165308498252,1585,2
naive,parallel,8,,690.2,0.0,,690.2,689.0,0.0,,689.0,0.9952187771660387,107,1
naive,parallel,10,,2976.0,0.0,,2976.0,2976.5,0.0,,2976.5,0.7877352150537635,8,1
array,serial,2,1,76.5,42.0,195.5,314.0,76.5,42.0,195.5,314.0,1.0,558107,54335
array,serial,4,1,76.5,4.0,15.0,95.5,76.5,4.0,15.0,95.5,1.0,50767,232
array,serial,6,1,82.5,0.0,1.0,83.5,82.5,0.0,1.0,83.5,1.0,5405,2
array,serial,8,1,124.0,0.0,0.0,124.0,124.0,0.0,0.0,124.0,1.0,333,1
array,serial,10,1,396.5,0.0,0.0,396.5,396.5,0.0,0.0,396.5,1.0,27,1
array,parallel,2,,24.5,43.5,212.5,280.5,24.5,43.5,212.5,280.5,1.1194295900178253,558107,54335
array,parallel,4,,19.5,5.0,20.0,44.5,19.5,5.0,20.0,44.5,2.146067415730337,50767,232
array,parallel,6,,38.0,0.0,2.0,40.0,38.0,0.0,2.0,40.0,2.0875,5405,2
array,parallel,8,,247.5,0.0,0.0,247.5,247.5,0.0,0.0,247.5,0.501010101010101,333,1
array,parallel,10,,973.5,0.0,0.0,973.5,973.5,0.0,0.0,973.5,0.40729327170005136,27,1
hash,serial,2,1,244.5,42.0,195.5,482.0,244.5,42.0,195.5,482.0,1.0,558107,54335
hash,serial,4,1,277.5,4.0,15.0,296.5,277.5,4.0,15.0,296.5,1.0,50767,232
hash,serial,6,1,403.5,0.0,1.0,404.5,403.5,0.0,1.0,404.5,1.0,5405,2
hash,serial,8,1,525.5,0.0,0.0,525.5,525.5,0.0,0.0,525.5,1.0,333,1
hash,serial,10,1,1038.5,0.0,0.0,1038.5,1038.5,0.0,0.0,1038.5,1.0,27,1
hash,parallel,2,,67.5,46.0,229.5,343.0,67.5,46.0,229.5,343.0,1.4052478134110786,558107,54335
hash,parallel,4,,30.5,5.5,20.5,56.5,30.5,5.5,20.5,56.5,5.247787610619469,50767,232
hash,parallel,6,,47.5,1.0,3.0,51.5,47.5,1.0,3.0,51.5,7.854368932038835,5405,2
hash,parallel,8,,217.0,0.0,0.0,217.0,217.0,0.0,0.0,217.0,2.421658986175115,333,1
hash,parallel,10,,437.0,0.0,0.0,437.0,437.0,0.0,0.0,437.0,2.376430205949657,27,1
