algorithm,threads,index_mean_ms,search_mean_ms,collect_mean_ms,total_mean_ms,index_median_ms,search_median_ms,collect_median_ms,total_median_ms,speedup,candidates,hits
naive,1,430.1,0.0,,430.1,430.0,0.0,,430.0,1.0,2177,1
naive,2,333.9,0.0,,333.9,352.5,0.0,,352.5,1.2881102126385147,2177,1
naive,4,295.7,0.0,,295.7,297.0,0.0,,297.0,1.454514710855597,2177,1
naive,8,254.6,0.0,,254.6,255.0,0.0,,255.0,1.6893165750196388,2177,1
naive,16,295.8,0.1,,295.9,295.0,0.0,,295.0,1.4535315985130113,2177,1
array,1,119.0,0.0,1.0,120.0,119.0,0.0,1.0,120.0,1.0,3325,1
array,2,44.0,0.0,1.0,45.0,44.0,0.0,1.0,45.0,2.6666666666666665,3325,1
array,4,47.5,0.0,1.0,48.5,47.5,0.0,1.0,48.5,2.4742268041237114,3325,1
array,8,51.0,1.0,2.0,54.0,51.0,1.0,2.0,54.0,2.2222222222222223,3325,1
array,16,53.5,0.0,1.0,54.5,53.5,0.0,1.0,54.5,2.2018348623853212,3325,1
hash,1,485.0,0.0,0.0,485.0,485.0,0.0,0.0,485.0,1.0,3325,1
hash,2,45.0,0.0,1.0,46.0,45.0,0.0,1.0,46.0,10.543478260869565,3325,1
hash,4,66.0,0.0,2.0,68.0,66.0,0.0,2.0,68.0,7.132352941176471,3325,1
hash,8,80.0,0.0,2.0,82.0,80.0,0.0,2.0,82.0,5.914634146341464,3325,1
hash,16,81.5,0.0,2.0,83.5,81.5,0.0,2.0,83.5,5.808383233532934,3325,1
