algorithm,threads,index_mean_ms,search_mean_ms,collect_mean_ms,total_mean_ms,index_median_ms,search_median_ms,collect_median_ms,total_median_ms,speedup,candidates,hits
naive,1,427.0,0.0,,427.0,420.5,0.0,,420.5,1.0,2177,1
naive,2,261.1,0.0,,261.1,257.5,0.0,,257.5,1.633009708737864,2177,1
naive,4,184.4,0.0,,184.4,184.5,0.0,,184.5,2.279132791327913,2177,1
naive,8,167.1,0.0,,167.1,167.0,0.0,,167.0,2.5179640718562872,2177,1
naive,16,164.3,0.0,,164.3,162.5,0.0,,162.5,2.5876923076923077,2177,1
array,1,65.5,0.0,0.0,65.5,65.5,0.0,0.0,65.5,1.0,3325,1
array,2,34.0,0.0,1.0,35.0,34.0,0.0,1.0,35.0,1.8714285714285714,3325,1
array,4,36.0,0.0,1.0,37.0,36.0,0.0,1.0,37.0,1.7702702702702702,3325,1
array,8,37.0,0.0,1.0,38.0,37.0,0.0,1.0,38.0,1.7236842105263157,3325,1
array,16,38.0,0.0,1.0,39.0,38.0,0.0,1.0,39.0,1.6794871794871795,3325,1
hash,1,324.0,0.0,0.0,324.0,324.0,0.0,0.0,324.0,1.0,3325,1
hash,2,47.5,0.0,1.0,48.5,47.5,0.0,1.0,48.5,6.680412371134021,3325,1
hash,4,49.0,0.0,1.0,50.0,49.0,0.0,1.0,50.0,6.48,3325,1
hash,8,49.5,0.0,1.0,50.5,49.5,0.0,1.0,50.5,6.415841584158416,3325,1
hash,16,48.5,0.0,1.0,49.5,48.5,0.0,1.0,49.5,6.545454545454546,3325,1
